actif,statut,exchanges,prix_moyen
0G,A SURVEILLER,LBank,0.1971
AEON1,A SURVEILLER,LBank,2.0733e-05
AKE,A SURVEILLER,Gate.io,0.0158374
AVAAI,A SURVEILLER,LBank,0.011292
BABY,A SURVEILLER,LBank,0.01145
BEG,A SURVEILLER,Gate.io,258.2
BLEND,A SURVEILLER,LBank,0.06421
BLUE,A SURVEILLER,LBank,0.009683
BLUR,A SURVEILLER,OKX,0.01753
BUBI,A SURVEILLER,LBank,0.04987
CRO,A SURVEILLER,OKX,0.05902
CZ,A SURVEILLER,LBank,0.002695
DOOD,A SURVEILLER,LBank,0.001695
FRONG,A SURVEILLER,LBank,0.007038
GOOGLG,A SURVEILLER,Gate.io,347.23
GRIFFAIN,A SURVEILLER,LBank,0.012536
H,A SURVEILLER,Gate.io,0.08294
JUGGERNAUT,A SURVEILLER,LBank,0.006846
LTC,A SURVEILLER,OKX,53.15
METEORA,A SURVEILLER,LBank,0.217
MRVLG,A SURVEILLER,Gate.io,220.82
MRVLON,A SURVEILLER,LBank,221.53
OL,A SURVEILLER,OKX,0.005591
ORDI,A SURVEILLER,OKX,4.142
PHA,A SURVEILLER,LBank,0.02761
PUMPBTC,A SURVEILLER,LBank,0.011798
STORJ,A SURVEILLER,OKX,0.034
SURPLUS,A SURVEILLER,LBank,4.76e-05
TRX,A SURVEILLER,OKX,0.338
U,A SURVEILLER,LBank,1.0
USELESS,A SURVEILLER,Gate.io,0.19635
ALGO,A ACHETER,OKX,0.09607
APEPE,A ACHETER,LBank,1.23999e-06
BERA,A ACHETER,LBank,0.185
BREV,A ACHETER,LBank,0.076
EIGEN,A ACHETER,LBank,0.2075
FIL,A ACHETER,OKX,0.9358
ICP,A ACHETER,OKX,2.745
INTCB,A ACHETER,LBank,97.74
INTCG,A ACHETER,Gate.io,97.53
INTCON,A ACHETER,LBank,97.77
MXN,A ACHETER,LBank,0.05615
ORCA,A ACHETER,LBank,1.345
SENT,A ACHETER,"LBank, OKX",0.015555
USDG,A ACHETER,OKX,1.0002
WLFI,A ACHETER,"Gate.io, LBank, OKX",0.05767666666666666
XLM,A ACHETER,OKX,0.19155
XRP,A ACHETER,"Kraken, OKX",1.422525
