actif,statut,exchanges,prix_moyen
A,A SURVEILLER,OKX,0.09167
AGT,A SURVEILLER,LBank,0.017003
AKE,A SURVEILLER,Gate.io,0.043286
ALPINE,A SURVEILLER,LBank,0.3464
ASMLON,A SURVEILLER,LBank,1734.98
ASR,A SURVEILLER,LBank,0.858
AVA,A SURVEILLER,LBank,0.25
AVAAI,A SURVEILLER,LBank,0.009681
BABY,A SURVEILLER,OKX,0.012281
BASED,A SURVEILLER,OKX,0.06381
BLUE,A SURVEILLER,LBank,0.009877
CATI,A SURVEILLER,LBank,0.06308
CC,A SURVEILLER,"Gate.io, OKX",0.10999
CFX,A SURVEILLER,OKX,0.05164
COP,A SURVEILLER,LBank,0.000305
CRV,A SURVEILLER,OKX,0.3251
CRWVB,A SURVEILLER,LBank,88.42
CRWVON,A SURVEILLER,LBank,88.52
DASH,A SURVEILLER,OKX,57.61
DELLG,A SURVEILLER,Gate.io,548.95
DEXE,A SURVEILLER,LBank,1.883
DOGE,A SURVEILLER,"Kraken, OKX",0.09270500000000001
DOS,A SURVEILLER,LBank,0.2241
ES,A SURVEILLER,LBank,0.0010991
ETC,A SURVEILLER,OKX,8.739
ETHFI,A SURVEILLER,OKX,0.6486
EVAA,A SURVEILLER,Gate.io,0.6921
FARTCOIN,A SURVEILLER,Gate.io,0.1846
FET,A SURVEILLER,OKX,0.194
FLOCK,A SURVEILLER,Gate.io,0.0713
G,A SURVEILLER,OKX,0.00555
GALA,A SURVEILLER,OKX,0.001908
GENIUS,A SURVEILLER,"Gate.io, LBank",0.3355
GOOGLB,A SURVEILLER,LBank,340.8
GOOGLG,A SURVEILLER,Gate.io,339.14
GRAM,A SURVEILLER,OKX,1.414
GUN,A SURVEILLER,LBank,0.00296
HOOKR,A SURVEILLER,LBank,0.01367
IOST,A SURVEILLER,OKX,0.0008845
IOTA,A SURVEILLER,OKX,0.04636
IVVG,A SURVEILLER,Gate.io,771.09
JTO,A SURVEILLER,OKX,0.4518
JUV,A SURVEILLER,LBank,0.3095
LDO,A SURVEILLER,OKX,0.3849
LLYG,A SURVEILLER,Gate.io,1151.65
LRCXON,A SURVEILLER,LBank,304.94
LUMIA,A SURVEILLER,LBank,0.08064
MEGA,A SURVEILLER,OKX,0.04366
MMT,A SURVEILLER,OKX,0.1672
MOODENG,A SURVEILLER,OKX,0.0448
OFC,A SURVEILLER,OKX,0.007918
ONE,A SURVEILLER,OKX,0.00195
OPEN,A SURVEILLER,LBank,0.1332
ORDI,A SURVEILLER,OKX,4.44
PEOPLE,A SURVEILLER,OKX,0.008537
PNUT,A SURVEILLER,OKX,0.05277
PTB,A SURVEILLER,Gate.io,0.0009063
PUMP,A SURVEILLER,"Gate.io, OKX",0.00400455
PUMPBTC,A SURVEILLER,LBank,0.011531
QBTSON,A SURVEILLER,LBank,17.11
QUID1,A SURVEILLER,LBank,0.06753
RE,A SURVEILLER,OKX,0.4467
RESOLV,A SURVEILLER,LBank,0.01781
SAND,A SURVEILLER,OKX,0.04032
SATO,A SURVEILLER,LBank,0.188
SOSO,A SURVEILLER,LBank,0.3052
SPK,A SURVEILLER,OKX,0.02028
SWARMS,A SURVEILLER,LBank,0.007879
TRB,A SURVEILLER,OKX,18.77
TRUMP,A SURVEILLER,"Gate.io, OKX",1.9673
UDOGE,A SURVEILLER,LBank,1.77775e-06
VIRTUAL,A SURVEILLER,"LBank, OKX",0.69855
ZEREBRO,A SURVEILLER,LBank,0.032345
ZK,A SURVEILLER,OKX,0.011201
AEON,A ACHETER,"LBank, OKX",0.059625
APE,A ACHETER,OKX,0.14698
ARC,A ACHETER,Gate.io,0.07894
ARROW,A ACHETER,LBank,0.4233
ASP,A ACHETER,LBank,0.011413
ATOM,A ACHETER,OKX,1.696
B2,A ACHETER,Gate.io,0.454
BANK,A ACHETER,LBank,0.03425
BICO,A ACHETER,OKX,0.02157
BMTBSC,A ACHETER,LBank,0.02019
BOME,A ACHETER,OKX,0.0010253
CHILLGUY,A ACHETER,LBank,0.0126
CLAWD1,A ACHETER,LBank,6.827e-06
COHRON,A ACHETER,LBank,304.21
CRO,A ACHETER,OKX,0.06138
DYDX,A ACHETER,OKX,0.12681
EIGEN,A ACHETER,OKX,0.2327
FIL,A ACHETER,OKX,0.936
HEI,A ACHETER,LBank,0.14245
JOTCHUA,A ACHETER,LBank,0.0016964
KAT,A ACHETER,"LBank, OKX",0.004894
LLYON,A ACHETER,LBank,1160.14
LUNA,A ACHETER,OKX,0.05104
MANTRA,A ACHETER,LBank,0.00433
MON,A ACHETER,"Gate.io, LBank, OKX",0.024073333333333335
MYX,A ACHETER,"Gate.io, LBank",0.076455
NBISG,A ACHETER,Gate.io,227.18
OP,A ACHETER,OKX,0.12288
PROMPT,A ACHETER,LBank,0.02102
SKL,A ACHETER,OKX,0.004312
STRK,A ACHETER,OKX,0.03835
TST,A ACHETER,LBank,0.01692
TUT,A ACHETER,Gate.io,0.02466
VRTON,A ACHETER,LBank,252.37
W,A ACHETER,OKX,0.011205
WDCG,A ACHETER,Gate.io,471.14
WLD,A ACHETER,OKX,0.4065
XLM,A ACHETER,OKX,0.20215
XPL,A ACHETER,"Gate.io, LBank, OKX",0.08901666666666667
