actif,statut,exchanges,prix_moyen
A,A SURVEILLER,OKX,0.08893
AIGENSYN,A SURVEILLER,LBank,0.01993
ALLO,A SURVEILLER,OKX,0.25497
ALPINE,A SURVEILLER,LBank,0.3386
ALTSZN,A SURVEILLER,LBank,0.003347
AMZNG,A SURVEILLER,Gate.io,255.21
ASTR,A SURVEILLER,OKX,0.006724
AVA,A SURVEILLER,LBank,0.2271
BABY,A SURVEILLER,"LBank, OKX",0.0115345
BAR,A SURVEILLER,LBank,0.2785
BASED,A SURVEILLER,OKX,0.06617
BCH,A SURVEILLER,OKX,252.9
BLEND,A SURVEILLER,LBank,0.06431
BONK,A SURVEILLER,OKX,3.008e-06
BROCCOLI,A SURVEILLER,LBank,0.01843
CC,A SURVEILLER,"Gate.io, OKX",0.10897
CFG,A SURVEILLER,OKX,0.14564
CHILLGUY,A SURVEILLER,LBank,0.013641
COP,A SURVEILLER,LBank,0.0003048
CORE,A SURVEILLER,OKX,0.02115
CVC,A SURVEILLER,"LBank, OKX",0.026455
DASH,A SURVEILLER,LBank,55.2
DOGE,A SURVEILLER,OKX,0.08731
DOOD,A SURVEILLER,LBank,0.001747
DYDX,A SURVEILLER,OKX,0.12985
ENS,A SURVEILLER,OKX,6.5
ES,A SURVEILLER,LBank,0.0010942
EVAA,A SURVEILLER,Gate.io,0.6519
FARTCOIN,A SURVEILLER,"Gate.io, LBank",0.166665
FLOCK,A SURVEILLER,Gate.io,0.06514
GALA,A SURVEILLER,OKX,0.001936
GLDON,A SURVEILLER,LBank,402.18
GOOGLG,A SURVEILLER,Gate.io,350.36
GRIFFAIN,A SURVEILLER,LBank,0.013498
GUN,A SURVEILLER,LBank,0.00288
JAILSTOOL,A SURVEILLER,LBank,0.0012425
JELLYJELLY,A SURVEILLER,LBank,0.055094
KITE,A SURVEILLER,LBank,0.1131
LLYON,A SURVEILLER,LBank,1159.1
MEGA,A SURVEILLER,OKX,0.04298
MMT,A SURVEILLER,"LBank, OKX",0.16685
MOODENG,A SURVEILLER,OKX,0.04468
MORPHO,A SURVEILLER,LBank,2.5286
MRVLON,A SURVEILLER,LBank,241.39
MVLLB,A SURVEILLER,LBank,30.27
MYX,A SURVEILLER,"Gate.io, LBank",0.07819999999999999
NBISG,A SURVEILLER,Gate.io,224.51
NIL,A SURVEILLER,LBank,0.0503
OFC,A SURVEILLER,OKX,0.009459
OPEN,A SURVEILLER,LBank,0.1379
PARTI,A SURVEILLER,LBank,0.02406
PAXG,A SURVEILLER,Gate.io,4363.83
PENGU,A SURVEILLER,"Gate.io, LBank, OKX",0.007811000000000001
PEOPLE,A SURVEILLER,OKX,0.00873
PEPE,A SURVEILLER,OKX,3.996e-06
PNUT,A SURVEILLER,OKX,0.05256
QQQG,A SURVEILLER,Gate.io,723.54
SKY,A SURVEILLER,OKX,0.07093
SLVON,A SURVEILLER,LBank,59.5599
SOXLB,A SURVEILLER,LBank,120.45
SPK,A SURVEILLER,LBank,0.020353
SWARMS,A SURVEILLER,LBank,0.007498
TIA,A SURVEILLER,OKX,0.4188
TQQQON,A SURVEILLER,LBank,72.51
TRB,A SURVEILLER,OKX,17.99
USELESS,A SURVEILLER,Gate.io,0.23787
WLFI,A SURVEILLER,"Gate.io, LBank, OKX",0.058186666666666664
XLM,A SURVEILLER,OKX,0.19729
XRP,A SURVEILLER,"Kraken, OKX",1.410835
ZORA,A SURVEILLER,LBank,0.008071
ACT,A ACHETER,LBank,0.01032
AEON,A ACHETER,"LBank, OKX",0.053239999999999996
ATOM,A ACHETER,OKX,1.766
B2,A ACHETER,Gate.io,0.4926
BANK,A ACHETER,LBank,0.03294
BICO,A ACHETER,OKX,0.02161
BIO1,A ACHETER,LBank,0.02707
BMTBSC,A ACHETER,LBank,0.01921
BOME,A ACHETER,OKX,0.0009672
BREV,A ACHETER,LBank,0.0814
BROCCOLI4,A ACHETER,LBank,0.006511
COHRON,A ACHETER,LBank,316.21
CRO,A ACHETER,OKX,0.05963
DOLO,A ACHETER,LBank,0.02577
EIGEN,A ACHETER,"LBank, OKX",0.23225
ETC,A ACHETER,OKX,8.521
FIL,A ACHETER,OKX,0.9433
GIGGLE,A ACHETER,LBank,36.2
HEI,A ACHETER,LBank,0.14664
HIPPO,A ACHETER,LBank,0.0001213
INTCON,A ACHETER,LBank,109.98
JTO,A ACHETER,OKX,0.5017
KAT,A ACHETER,OKX,0.004702
LAYER,A ACHETER,LBank,0.07147
MON,A ACHETER,OKX,0.02499
NOM,A ACHETER,LBank,0.001668
ORCA,A ACHETER,LBank,1.4101
SATO,A ACHETER,LBank,0.1836
SENT,A ACHETER,OKX,0.01809
SKR,A ACHETER,LBank,0.018776
SOON,A ACHETER,LBank,0.1849
SUI,A ACHETER,OKX,0.8974
TSMON,A ACHETER,LBank,439.08
U,A ACHETER,LBank,1.0003
WIF,A ACHETER,OKX,0.2024
WLD,A ACHETER,OKX,0.4356
WPAY,A ACHETER,Gate.io,0.68804
XPL,A ACHETER,"Gate.io, LBank, OKX",0.08866666666666667
ZKP,A ACHETER,LBank,0.04667
