actif,statut,exchanges,prix_moyen
ACT,A SURVEILLER,LBank,0.01109
ADA,A SURVEILLER,"Kraken, OKX",0.247676
AKE,A SURVEILLER,Gate.io,0.035751
ALGO,A SURVEILLER,OKX,0.1133
ALLO,A SURVEILLER,OKX,0.2848
ALPINE,A SURVEILLER,LBank,0.3534
ALTSZN,A SURVEILLER,LBank,0.004559
APE,A SURVEILLER,OKX,0.15129
APT,A SURVEILLER,OKX,0.8094
ASMLON,A SURVEILLER,LBank,1723.83
ASR,A SURVEILLER,LBank,0.871
ATH,A SURVEILLER,OKX,0.005921
AVA,A SURVEILLER,LBank,0.2599
AVAAI,A SURVEILLER,LBank,0.009743
BEG,A SURVEILLER,Gate.io,265.59
BIO,A SURVEILLER,OKX,0.03073
BIO1,A SURVEILLER,LBank,0.03129
CATI,A SURVEILLER,LBank,0.06259
CC,A SURVEILLER,"Gate.io, LBank, OKX",0.11305
CFG,A SURVEILLER,OKX,0.1503
CFX,A SURVEILLER,OKX,0.05395
COP,A SURVEILLER,LBank,0.000305
CRWVB,A SURVEILLER,LBank,86.53
CRWVON,A SURVEILLER,LBank,86.79
DOGE,A SURVEILLER,"Kraken, OKX",0.09579
DOT,A SURVEILLER,OKX,1.1554
EIGEN,A SURVEILLER,OKX,0.2384
EVAA,A SURVEILLER,Gate.io,0.7189
FARTCOIN,A SURVEILLER,"Gate.io, LBank",0.18766
FET,A SURVEILLER,OKX,0.2287
FHE,A SURVEILLER,LBank,0.0232
FLOCK,A SURVEILLER,Gate.io,0.07126
FLOKI,A SURVEILLER,OKX,2.838e-05
G,A SURVEILLER,OKX,0.00561
GENIUS,A SURVEILLER,"Gate.io, LBank",0.35505
GRAM,A SURVEILLER,OKX,1.409
GRIFFAIN,A SURVEILLER,LBank,0.015086
GUN,A SURVEILLER,LBank,0.00305
HIMSON,A SURVEILLER,LBank,28.14
HOME,A SURVEILLER,LBank,0.006354
HOOKR,A SURVEILLER,LBank,0.013283
IOST,A SURVEILLER,OKX,0.0009271
IVVG,A SURVEILLER,Gate.io,769.22
JUV,A SURVEILLER,LBank,0.3165
KORUG,A SURVEILLER,Gate.io,20.297
LABUBU,A SURVEILLER,LBank,0.0004337
LAT,A SURVEILLER,OKX,0.0006538
LAYER,A SURVEILLER,LBank,0.07771
LRCXON,A SURVEILLER,LBank,301.43
LUMIA,A SURVEILLER,LBank,0.08427
MARAON,A SURVEILLER,LBank,13.05
MEGA,A SURVEILLER,OKX,0.04493
MELANIA,A SURVEILLER,LBank,0.10701
MEMES,A SURVEILLER,LBank,0.0006555
MERL,A SURVEILLER,OKX,0.02875
MMT,A SURVEILLER,LBank,0.1719
MON,A SURVEILLER,"LBank, OKX",0.024820000000000002
MOODENG,A SURVEILLER,OKX,0.0491
MRVLON,A SURVEILLER,LBank,257.57
MUBARAK,A SURVEILLER,"Gate.io, LBank",0.0455725
MYX,A SURVEILLER,"Gate.io, LBank",0.08306
NBISON,A SURVEILLER,LBank,241.43
OFC,A SURVEILLER,OKX,0.008389
ONDSON,A SURVEILLER,LBank,7.447
ONE,A SURVEILLER,OKX,0.001511
OPEN,A SURVEILLER,LBank,0.1378
ORDI,A SURVEILLER,OKX,4.584
PENGU,A SURVEILLER,LBank,0.009887
PNUT,A SURVEILLER,OKX,0.05439
PSG,A SURVEILLER,LBank,0.4711
PUMP,A SURVEILLER,"Gate.io, OKX",0.00385265
PUMPBTC,A SURVEILLER,LBank,0.011797
QBTSON,A SURVEILLER,LBank,16.87
QUID1,A SURVEILLER,LBank,0.06755
RE,A SURVEILLER,OKX,0.46967
RESOLV,A SURVEILLER,LBank,0.01843
SATO,A SURVEILLER,LBank,0.1995
SHIB,A SURVEILLER,OKX,5.775e-06
SKR,A SURVEILLER,Gate.io,0.020665
SKY,A SURVEILLER,OKX,0.07321
SOSO,A SURVEILLER,LBank,0.3216
SPK,A SURVEILLER,"LBank, OKX",0.021295
SPYB,A SURVEILLER,LBank,765.87
SPYX,A SURVEILLER,LBank,769.8871
SWARMS,A SURVEILLER,LBank,0.008294
TAKE,A SURVEILLER,Gate.io,0.055918
TRUMP,A SURVEILLER,"Gate.io, OKX",2.07555
VELVET,A SURVEILLER,LBank,0.06418
VIRTUAL,A SURVEILLER,"LBank, OKX",0.74605
WOOD,A SURVEILLER,LBank,0.007279
XPL,A SURVEILLER,"Gate.io, LBank, OKX",0.10806
ZEREBRO,A SURVEILLER,LBank,0.032529
ACE,A ACHETER,OKX,0.18777
ACU,A ACHETER,LBank,0.12827
AEON1,A ACHETER,LBank,2.2194e-05
ARC,A ACHETER,Gate.io,0.07343
ARCSOL,A ACHETER,LBank,0.07622
ARROW,A ACHETER,LBank,0.456
ASP,A ACHETER,LBank,0.011668
ATOM,A ACHETER,OKX,1.784
AXTIB,A ACHETER,LBank,74.67
B2,A ACHETER,Gate.io,0.5015
BABY,A ACHETER,"LBank, OKX",0.0128145
BANK,A ACHETER,LBank,0.03474
BASED,A ACHETER,OKX,0.0668
BICO,A ACHETER,OKX,0.02255
BOME,A ACHETER,OKX,0.0010335
BREV,A ACHETER,LBank,0.0876
CLAWD1,A ACHETER,LBank,6.775e-06
COHRON,A ACHETER,LBank,294.04
CORE,A ACHETER,OKX,0.02364
DYDX,A ACHETER,OKX,0.13291
FIL,A ACHETER,OKX,0.9906
GIGA,A ACHETER,LBank,0.002369
GPS,A ACHETER,LBank,0.011421
HBAR,A ACHETER,OKX,0.09311
HEI,A ACHETER,LBank,0.14408
HIPPO,A ACHETER,LBank,0.0001315
JOTCHUA,A ACHETER,LBank,0.0019595
JTO,A ACHETER,OKX,0.4899
KAT,A ACHETER,"LBank, OKX",0.0050165
KITE,A ACHETER,LBank,0.1327
KORUB,A ACHETER,LBank,20.31
LINEA,A ACHETER,LBank,0.002846
LLYON,A ACHETER,LBank,1196.04
LUNA,A ACHETER,OKX,0.05372
MXN,A ACHETER,LBank,0.05641
OP,A ACHETER,OKX,0.13139
PROMPT,A ACHETER,LBank,0.02164
PTB,A ACHETER,Gate.io,0.0010002
RENDER,A ACHETER,OKX,1.856
SHOPON,A ACHETER,LBank,142.32
SKL,A ACHETER,OKX,0.004559
SOON,A ACHETER,LBank,0.1992
STRK,A ACHETER,OKX,0.03914
TUT,A ACHETER,"Gate.io, LBank",0.0274
VEX,A ACHETER,LBank,0.003607
W,A ACHETER,OKX,0.011724
WDCG,A ACHETER,Gate.io,451.15
WLD,A ACHETER,OKX,0.44
WPAY,A ACHETER,Gate.io,0.75673
ZKP,A ACHETER,LBank,0.0497
