actif,statut,exchanges,prix_moyen
AGT,A SURVEILLER,LBank,0.015762
AIOZ,A SURVEILLER,LBank,0.05413
ALTSZN,A SURVEILLER,LBank,0.003738
ARKM,A SURVEILLER,OKX,0.10615
BAN,A SURVEILLER,LBank,0.07257
BEG,A SURVEILLER,Gate.io,216.98
BLUE,A SURVEILLER,LBank,0.008897
BONK,A SURVEILLER,OKX,2.916e-06
CC,A SURVEILLER,LBank,0.10992
DATA,A SURVEILLER,LBank,0.1871
DRV,A SURVEILLER,Gate.io,0.14362
ENSO,A SURVEILLER,LBank,0.8589
ETHFI,A SURVEILLER,OKX,0.5618
EWYB,A SURVEILLER,LBank,177.97
FIL,A SURVEILLER,OKX,0.7987
FLR,A SURVEILLER,OKX,0.006751
GIGA,A SURVEILLER,LBank,0.002469
KERNEL,A SURVEILLER,LBank,0.0369
LABUBU,A SURVEILLER,LBank,0.0004841
METAG,A SURVEILLER,Gate.io,597.52
MORPHO,A SURVEILLER,LBank,2.4772
MUUB,A SURVEILLER,LBank,29.87
NEAR,A SURVEILLER,OKX,1.889
ONT,A SURVEILLER,OKX,0.05239
ORCA,A SURVEILLER,LBank,1.2155
PENGU,A SURVEILLER,LBank,0.00828
PI,A SURVEILLER,"Gate.io, OKX",0.09396
PROMPT,A SURVEILLER,LBank,0.02271
PUMPBTC,A SURVEILLER,LBank,0.011371
SAGA,A SURVEILLER,LBank,0.01457
SNXXB,A SURVEILLER,LBank,13.86
SOPH,A SURVEILLER,OKX,0.003846
STONKBROKER,A SURVEILLER,LBank,0.018937
TIA,A SURVEILLER,OKX,0.3559
TRUMP,A SURVEILLER,"Gate.io, OKX",2.2168
TRUMPSOL,A SURVEILLER,LBank,2.194
WOOD,A SURVEILLER,LBank,0.007398
YOLO,A SURVEILLER,LBank,0.009568
ZORA,A SURVEILLER,"Gate.io, LBank, OKX",0.007409666666666666
ANIME,A ACHETER,LBank,0.002771
AUCTION,A ACHETER,OKX,3.25
BMT,A ACHETER,"Gate.io, LBank",0.01958
BMTBSC,A ACHETER,LBank,0.01975
BROCCOLI4,A ACHETER,LBank,0.006768
COMP,A ACHETER,OKX,19.24
GIGGLE,A ACHETER,LBank,36.91
GME1,A ACHETER,LBank,3.0154e-05
HEI,A ACHETER,LBank,0.14131
ICP,A ACHETER,OKX,2.463
LAYER,A ACHETER,LBank,0.06754
LMTS,A ACHETER,LBank,0.07664
MAGMA,A ACHETER,Gate.io,0.40395
MERL,A ACHETER,OKX,0.02044
MIAA,A ACHETER,LBank,0.0006262
MXN,A ACHETER,LBank,0.05579
NOT,A ACHETER,OKX,0.0004364
SURPLUS,A ACHETER,LBank,3.937e-05
VVV,A ACHETER,Gate.io,16.2412
XRP,A ACHETER,"Kraken, OKX",1.35161
ZKC,A ACHETER,LBank,0.04893
ZKP,A ACHETER,LBank,0.04632
