actif,statut,exchanges,prix_moyen
ALTSZN,A SURVEILLER,LBank,0.003877
APE,A SURVEILLER,OKX,0.1387
APT,A SURVEILLER,OKX,0.5802
AUCTION,A SURVEILLER,OKX,3.381
BTW,A SURVEILLER,LBank,0.450097
DATA,A SURVEILLER,LBank,0.1873
DOGE,A SURVEILLER,OKX,0.0848
ETHFI,A SURVEILLER,OKX,0.5593
FET,A SURVEILLER,OKX,0.1552
FLR,A SURVEILLER,OKX,0.006726
INTCON,A SURVEILLER,LBank,94.64
ITOTON,A SURVEILLER,LBank,169.88
IVVG,A SURVEILLER,Gate.io,772.94
JUP,A SURVEILLER,OKX,0.217
NFLXON,A SURVEILLER,LBank,793.27
OP,A SURVEILLER,OKX,0.09819
PGG,A SURVEILLER,Gate.io,143.4
PROMPT,A SURVEILLER,LBank,0.02327
PUMPBTC,A SURVEILLER,LBank,0.011871
QQQG,A SURVEILLER,Gate.io,717.84
SOPH,A SURVEILLER,LBank,0.003922
SOXSB,A SURVEILLER,LBank,47.19
SPK,A SURVEILLER,LBank,0.020141
STABLE,A SURVEILLER,LBank,0.02946
TIA,A SURVEILLER,OKX,0.3504
TRUMP,A SURVEILLER,"Gate.io, OKX",2.30535
VRTON,A SURVEILLER,LBank,274.6
WOOD,A SURVEILLER,LBank,0.007908
YOLO,A SURVEILLER,LBank,0.009858
ZAMA,A SURVEILLER,OKX,0.05156
ZRO,A SURVEILLER,OKX,1.0368
AERO,A ACHETER,LBank,0.4988
ALGO,A ACHETER,OKX,0.09041
ANIME,A ACHETER,LBank,0.002779
APEPE,A ACHETER,LBank,1.12931e-06
ETC,A ACHETER,OKX,7.451
GIGGLE,A ACHETER,LBank,37.18
H,A ACHETER,Gate.io,0.08094
HEI,A ACHETER,LBank,0.14658
JELLYJELLY,A ACHETER,LBank,0.05541
KITE,A ACHETER,LBank,0.13
MIAA,A ACHETER,LBank,0.00064055
NIL,A ACHETER,LBank,0.04786
SENT,A ACHETER,LBank,0.01337
SUI,A ACHETER,OKX,0.7555
TSMON,A ACHETER,LBank,429.71
WLD,A ACHETER,OKX,0.3834
XPL,A ACHETER,"Gate.io, LBank, OKX",0.09345333333333333
ZKC,A ACHETER,LBank,0.04856
ZKP,A ACHETER,LBank,0.04889
