actif,statut,exchanges,prix_moyen
AGT,A SURVEILLER,LBank,0.016376
AVAAI,A SURVEILLER,LBank,0.009669
B,A SURVEILLER,LBank,0.18318
CAPETH,A SURVEILLER,LBank,0.054942
IBMON,A SURVEILLER,LBank,244.01
JUGGERNAUT,A SURVEILLER,LBank,0.008406
LLYON,A SURVEILLER,LBank,1152.45
MRVLON,A SURVEILLER,LBank,242.02
MVLLB,A SURVEILLER,LBank,30.3
WLFI,A SURVEILLER,LBank,0.0571
XOMON,A SURVEILLER,LBank,164.23
ARCSOL,A ACHETER,LBank,0.06959
HEI,A ACHETER,LBank,0.13124
SOXSB,A ACHETER,LBank,45.31
USDG,A ACHETER,OKX,1.0006
