actif,statut,exchanges,prix_moyen
B,A SURVEILLER,LBank,0.18726
CHZ,A SURVEILLER,OKX,0.01409
CVC,A SURVEILLER,LBank,0.02605
FLOCK,A SURVEILLER,Gate.io,0.06358
GOOGLG,A SURVEILLER,Gate.io,345.37
GRIFFAIN,A SURVEILLER,LBank,0.0129
H,A SURVEILLER,Gate.io,0.08931
LLYON,A SURVEILLER,LBank,1153.24
MUBARAK,A SURVEILLER,LBank,0.02873
PHA,A SURVEILLER,LBank,0.02639
PLTRG,A SURVEILLER,Gate.io,175.26
SOSO,A SURVEILLER,LBank,0.3244
VEX,A SURVEILLER,LBank,0.003244
AKE,A ACHETER,Gate.io,0.0203321
ARC,A ACHETER,Gate.io,0.07436
ARCSOL,A ACHETER,LBank,0.07478
INTCON,A ACHETER,LBank,102.34
LA,A ACHETER,LBank,0.0646
UNGON,A ACHETER,LBank,10.433
USDG,A ACHETER,OKX,1.0007
WLFI,A ACHETER,"Gate.io, LBank, OKX",0.057769999999999995
