actif,statut,exchanges,prix_moyen
0G,A SURVEILLER,LBank,0.1897
AERO,A SURVEILLER,LBank,0.5371
AGT,A SURVEILLER,LBank,0.016104
AMDB,A SURVEILLER,LBank,502.73
AMDG,A SURVEILLER,Gate.io,504.37
AVAAI,A SURVEILLER,LBank,0.009971
BLUR,A SURVEILLER,OKX,0.01659
BR,A SURVEILLER,"Gate.io, LBank",0.259785
BROCCOLI,A SURVEILLER,LBank,0.01817
BUBI,A SURVEILLER,LBank,0.04712
CZ,A SURVEILLER,LBank,0.00273
DOOD,A SURVEILLER,LBank,0.001571
ETHFI,A SURVEILLER,OKX,0.5943
FRONG,A SURVEILLER,LBank,0.006858
GOOGLG,A SURVEILLER,Gate.io,344.45
GRIFFAIN,A SURVEILLER,LBank,0.012273
H,A SURVEILLER,Gate.io,0.08711
JUGGERNAUT,A SURVEILLER,LBank,0.006293
METEORA,A SURVEILLER,LBank,0.1995
PHA,A SURVEILLER,LBank,0.0275
SURPLUS,A SURVEILLER,LBank,4.504e-05
USDG,A SURVEILLER,OKX,1.0004
VEX,A SURVEILLER,LBank,0.003637
XMR,A SURVEILLER,Kraken,505.68
ANIME,A ACHETER,LBank,0.002901
APEPE,A ACHETER,LBank,1.21981e-06
BERA,A ACHETER,LBank,0.1851
FIL,A ACHETER,OKX,0.8158
INTCB,A ACHETER,LBank,98.02
INTCG,A ACHETER,Gate.io,97.18
INTCON,A ACHETER,LBank,98.13
OL,A ACHETER,OKX,0.005316
PROVE,A ACHETER,LBank,0.1867
U,A ACHETER,LBank,1.0003
WLFI,A ACHETER,"Gate.io, LBank, OKX",0.057023333333333336
