actif,statut,exchanges,prix_moyen
0G,A SURVEILLER,Gate.io,0.1975
AGT,A SURVEILLER,LBank,0.015982
AMDB,A SURVEILLER,LBank,475.62
AMDG,A SURVEILLER,Gate.io,476.46
B,A SURVEILLER,LBank,0.17527
BERA,A SURVEILLER,LBank,0.1835
CRWVON,A SURVEILLER,LBank,89.02
DYDX,A SURVEILLER,OKX,0.12129
ETHFI,A SURVEILLER,OKX,0.5741
FIL,A SURVEILLER,OKX,0.787
FLR,A SURVEILLER,OKX,0.006725
GME1,A SURVEILLER,LBank,3.6247e-05
GPS,A SURVEILLER,LBank,0.010559
GRAM,A SURVEILLER,OKX,1.432
HEMI,A SURVEILLER,"Gate.io, LBank",0.0117555
INTCON,A SURVEILLER,LBank,95.98
MARAON,A SURVEILLER,LBank,11.3
MORPHO,A SURVEILLER,OKX,2.4887
ONDO,A SURVEILLER,OKX,0.3702
ORCA,A SURVEILLER,LBank,1.2759
PFEON,A SURVEILLER,LBank,29.95
QQQG,A SURVEILLER,Gate.io,719.97
SPYX,A SURVEILLER,LBank,776.1697
STABLE,A SURVEILLER,LBank,0.02881
SUI,A SURVEILLER,OKX,0.7952
TENDIES,A SURVEILLER,LBank,0.023828
TIA,A SURVEILLER,OKX,0.3795
TQQQON,A SURVEILLER,LBank,72.61
TRUMP,A SURVEILLER,"Gate.io, OKX",2.3724
TRUMPSOL,A SURVEILLER,LBank,2.373
XLM,A SURVEILLER,OKX,0.18394
YOLO,A SURVEILLER,LBank,0.009571
ALGO,A ACHETER,OKX,0.09445
APE,A ACHETER,OKX,0.14357
APEPE,A ACHETER,LBank,1.13522e-06
APT,A ACHETER,OKX,0.6139
BCH,A ACHETER,OKX,256.0
CATI,A ACHETER,LBank,0.05037
DOGE,A ACHETER,OKX,0.08968
EIGEN,A ACHETER,OKX,0.206
EPIC,A ACHETER,LBank,0.3807
HEI,A ACHETER,LBank,0.14479
INTCB,A ACHETER,LBank,96.23
INTCG,A ACHETER,Gate.io,96.2
KITE,A ACHETER,LBank,0.1251
KOMA,A ACHETER,LBank,0.01619
MEMES,A ACHETER,LBank,0.0005995
MIAA,A ACHETER,LBank,0.0006321
MXN,A ACHETER,LBank,0.05606
NOT,A ACHETER,OKX,0.0004525
RENDER,A ACHETER,OKX,1.465
SKYAI,A ACHETER,Gate.io,0.06164
STRK,A ACHETER,OKX,0.03012
TSMON,A ACHETER,LBank,431.29
WDCG,A ACHETER,Gate.io,466.37
XPL,A ACHETER,"Gate.io, LBank, OKX",0.09303
ZKC,A ACHETER,LBank,0.0497
ZKP,A ACHETER,LBank,0.04828
