actif,statut,exchanges,prix_moyen
0G,A SURVEILLER,"Gate.io, LBank",0.18864999999999998
AIOZ,A SURVEILLER,LBank,0.05605
ALPINE,A SURVEILLER,LBank,0.3532
APE,A SURVEILLER,OKX,0.14185
APT,A SURVEILLER,OKX,0.6027
ARKM,A SURVEILLER,OKX,0.10932
AUCTION,A SURVEILLER,OKX,3.41
BERA,A SURVEILLER,LBank,0.1837
BLUE,A SURVEILLER,LBank,0.009109
BONK,A SURVEILLER,OKX,3.119e-06
CC,A SURVEILLER,LBank,0.11312
DOLO,A SURVEILLER,LBank,0.02645
DOT,A SURVEILLER,OKX,0.8882
FET,A SURVEILLER,OKX,0.1574
FIL,A SURVEILLER,OKX,0.7922
FLR,A SURVEILLER,OKX,0.006964
KERNEL,A SURVEILLER,LBank,0.03787
MARAON,A SURVEILLER,LBank,11.75
MORPHO,A SURVEILLER,OKX,2.4851
MUUB,A SURVEILLER,LBank,29.81
NEAR,A SURVEILLER,OKX,1.954
ONT,A SURVEILLER,OKX,0.05518
ORCA,A SURVEILLER,LBank,1.2808
ORDI,A SURVEILLER,OKX,4.167
PENGU,A SURVEILLER,LBank,0.008972
PROMPT,A SURVEILLER,LBank,0.02357
PROS,A SURVEILLER,LBank,0.4097
PUMP,A SURVEILLER,LBank,0.004465
SHIB,A SURVEILLER,OKX,5.408e-06
SNXXG,A SURVEILLER,Gate.io,13.89
SOPH,A SURVEILLER,"LBank, OKX",0.0039065
STONKBROKER,A SURVEILLER,LBank,0.021349
SUI,A SURVEILLER,OKX,0.7832
SURPLUS,A SURVEILLER,LBank,4.262e-05
TIA,A SURVEILLER,OKX,0.3664
TRUMP,A SURVEILLER,"Gate.io, OKX",2.389
TRUMPSOL,A SURVEILLER,LBank,2.393
VEX,A SURVEILLER,LBank,0.004104
WISHBONE,A SURVEILLER,LBank,0.0019965
ZORA,A SURVEILLER,LBank,0.007683
ANIME,A ACHETER,LBank,0.002796
ARCSOL,A ACHETER,LBank,0.07216
EIGEN,A ACHETER,LBank,0.209
ETC,A ACHETER,OKX,7.59
GRASS,A ACHETER,LBank,0.35
HEI,A ACHETER,LBank,0.14619
JELLYJELLY,A ACHETER,LBank,0.056899
LAYER,A ACHETER,LBank,0.06957
LIGHT,A ACHETER,Gate.io,0.17686
LUMIA,A ACHETER,LBank,0.08765
MAGMA,A ACHETER,Gate.io,0.25982
MIAA,A ACHETER,LBank,0.00064528
MON,A ACHETER,LBank,0.02713
OP,A ACHETER,OKX,0.10123
RENDER,A ACHETER,OKX,1.473
SENT,A ACHETER,LBank,0.01328
STRK,A ACHETER,OKX,0.02767
UAI,A ACHETER,Gate.io,0.35936
XPL,A ACHETER,LBank,0.09317
ZKC,A ACHETER,LBank,0.04876
ZKP,A ACHETER,LBank,0.04638
