actif,statut,exchanges,prix_moyen
AGT,A SURVEILLER,LBank,0.016704
AIW3,A SURVEILLER,LBank,0.04075
AVAAI,A SURVEILLER,LBank,0.009599
BCH,A SURVEILLER,OKX,255.5
BUBI,A SURVEILLER,LBank,0.05055
C,A SURVEILLER,LBank,0.06297
CAPETH,A SURVEILLER,LBank,0.05518
CFX,A SURVEILLER,OKX,0.04955
CROSS,A SURVEILLER,LBank,0.13543
CVC,A SURVEILLER,LBank,0.02672
DYDX,A SURVEILLER,OKX,0.1267
EDGE,A SURVEILLER,OKX,0.589
FET,A SURVEILLER,OKX,0.1853
FRONG,A SURVEILLER,LBank,0.007014
GALA,A SURVEILLER,OKX,0.001926
GENIUS,A SURVEILLER,"Gate.io, LBank",0.339245
GOOGLG,A SURVEILLER,Gate.io,350.58
GPS,A SURVEILLER,LBank,0.01125
GRIFFAIN,A SURVEILLER,LBank,0.01332
H,A SURVEILLER,Gate.io,0.08272
JELLYJELLY,A SURVEILLER,LBank,0.058516
JTO,A SURVEILLER,OKX,0.4612
JUGGERNAUT,A SURVEILLER,LBank,0.008257
LDO,A SURVEILLER,OKX,0.3916
LLYON,A SURVEILLER,LBank,1149.88
MOODENG,A SURVEILLER,OKX,0.04465
MORPHO,A SURVEILLER,OKX,2.4862
MRVLON,A SURVEILLER,LBank,238.71
MVLLB,A SURVEILLER,LBank,29.48
MYX,A SURVEILLER,LBank,0.08507
ORDI,A SURVEILLER,OKX,4.602
PEOPLE,A SURVEILLER,OKX,0.009035
PEPE,A SURVEILLER,OKX,3.817e-06
PHA,A SURVEILLER,LBank,0.03107
PLTRB,A SURVEILLER,LBank,175.73
PLTRG,A SURVEILLER,Gate.io,177.23
QQQG,A SURVEILLER,Gate.io,721.99
RENDER,A SURVEILLER,OKX,1.549
SAGA,A SURVEILLER,LBank,0.02063
SKY,A SURVEILLER,OKX,0.0695
SLVON,A SURVEILLER,LBank,59.9287
SOLV,A SURVEILLER,LBank,0.003993
TRX,A SURVEILLER,OKX,0.3384
USDG,A SURVEILLER,OKX,1.0004
WALLET,A SURVEILLER,LBank,0.015963
AEON,A ACHETER,"LBank, OKX",0.057414999999999994
ALGO,A ACHETER,OKX,0.09787
ATOM,A ACHETER,OKX,1.72
BMTBSC,A ACHETER,LBank,0.01893
BOME,A ACHETER,OKX,0.0009876
CARDS,A ACHETER,OKX,0.1719
CRO,A ACHETER,OKX,0.05997
EIGEN,A ACHETER,"LBank, OKX",0.22955
ETC,A ACHETER,OKX,8.159
FIL,A ACHETER,OKX,0.9437
HEI,A ACHETER,LBank,0.13765
HIPPO,A ACHETER,LBank,0.000124
ICP,A ACHETER,OKX,2.865
INTCON,A ACHETER,LBank,106.9
KERNEL,A ACHETER,LBank,0.04176
OPEN,A ACHETER,LBank,0.1443
ORCA,A ACHETER,LBank,1.4519
PNUT,A ACHETER,OKX,0.0522
TIA,A ACHETER,OKX,0.4071
W,A ACHETER,OKX,0.011048
WLD,A ACHETER,OKX,0.4245
WLFI,A ACHETER,"Gate.io, LBank, OKX",0.05889
WPAY,A ACHETER,Gate.io,0.70992
XLM,A ACHETER,OKX,0.19313
XPL,A ACHETER,"Gate.io, LBank, OKX",0.09360666666666667
ZK,A ACHETER,OKX,0.011264
