actif,statut,exchanges,prix_moyen
AGT,A SURVEILLER,LBank,0.015816
AKE,A SURVEILLER,Gate.io,0.0139667
ALPINE,A SURVEILLER,LBank,0.3538
AMDB,A SURVEILLER,LBank,477.4
AMDG,A SURVEILLER,Gate.io,478.73
ASR,A SURVEILLER,LBank,0.891
BLEND,A SURVEILLER,LBank,0.06566
BLUE,A SURVEILLER,LBank,0.009833
BR,A SURVEILLER,LBank,0.24502
BTW,A SURVEILLER,LBank,0.448355
CATI,A SURVEILLER,LBank,0.053
CRO,A SURVEILLER,OKX,0.05778
CRWVON,A SURVEILLER,LBank,89.34
ENSO,A SURVEILLER,LBank,0.8895
ES,A SURVEILLER,LBank,0.0011538
FLR,A SURVEILLER,OKX,0.006713
FRONG,A SURVEILLER,LBank,0.006336
GIGGLE,A SURVEILLER,LBank,38.52
GME1,A SURVEILLER,LBank,2.4327e-05
GPS,A SURVEILLER,LBank,0.010687
GRAM,A SURVEILLER,OKX,1.434
GRIFFAIN,A SURVEILLER,LBank,0.011973
HEMI,A SURVEILLER,"Gate.io, LBank",0.011304499999999999
INDEX,A SURVEILLER,LBank,0.042146
ITOTON,A SURVEILLER,LBank,170.03
MARAON,A SURVEILLER,LBank,11.33
MMT,A SURVEILLER,LBank,0.1675
MOODENG,A SURVEILLER,OKX,0.04475
NOM,A SURVEILLER,Gate.io,0.001814
OG,A SURVEILLER,LBank,2.822
OPG,A SURVEILLER,LBank,0.1031
ORDI,A SURVEILLER,OKX,4.269
PEPE,A SURVEILLER,OKX,3.655e-06
QQQG,A SURVEILLER,Gate.io,719.05
SOXLB,A SURVEILLER,LBank,121.39
SPYX,A SURVEILLER,LBank,777.5622
STABLE,A SURVEILLER,LBank,0.02786
TENDIES,A SURVEILLER,LBank,0.016924
TQQQON,A SURVEILLER,LBank,72.72
TRUMP,A SURVEILLER,"Gate.io, OKX",2.3376
WBTC,A SURVEILLER,LBank,79495.68
XLM,A SURVEILLER,OKX,0.18777
YOLO,A SURVEILLER,LBank,0.007883
ZORA,A SURVEILLER,LBank,0.008332
ANIME,A ACHETER,LBank,0.002888
APE,A ACHETER,OKX,0.14267
APEPE,A ACHETER,LBank,1.14063e-06
APT,A ACHETER,OKX,0.6245
ARCSOL,A ACHETER,LBank,0.07214
BERA,A ACHETER,LBank,0.188
BICO,A ACHETER,OKX,0.02253
BREV,A ACHETER,LBank,0.0791
BROCCOLI4,A ACHETER,LBank,0.006975
EDGE,A ACHETER,LBank,0.07095
EPIC,A ACHETER,LBank,0.3894
FHE,A ACHETER,LBank,0.02417
FORM,A ACHETER,LBank,0.2623
GRASS,A ACHETER,LBank,0.3452
HEI,A ACHETER,LBank,0.13898
INTCB,A ACHETER,LBank,96.88
INTCG,A ACHETER,Gate.io,97.57
INTCON,A ACHETER,LBank,96.83
JELLYJELLY,A ACHETER,LBank,0.056916
KOMA,A ACHETER,LBank,0.014275
MIAA,A ACHETER,LBank,0.00063551
ONDO,A ACHETER,OKX,0.3875
RESOLV,A ACHETER,LBank,0.01816
SAGA,A ACHETER,LBank,0.01552
SENT,A ACHETER,LBank,0.01329
SKYAI,A ACHETER,"Gate.io, LBank",0.06019
VIRTUAL,A ACHETER,OKX,0.7288
WDCG,A ACHETER,Gate.io,465.32
XDOG,A ACHETER,LBank,0.004548
XPL,A ACHETER,"Gate.io, LBank, OKX",0.09001999999999999
XRP,A ACHETER,"Kraken, OKX",1.4227699999999999
ZKC,A ACHETER,LBank,0.04867
ZKP,A ACHETER,LBank,0.04733
