actif,statut,exchanges,prix_moyen
ACT,A SURVEILLER,LBank,0.01109
ALPINE,A SURVEILLER,LBank,0.3544
AMZNG,A SURVEILLER,Gate.io,255.44
ANSEM,A SURVEILLER,LBank,0.17838
ASMLON,A SURVEILLER,LBank,1725.9
ASR,A SURVEILLER,LBank,0.867
ASTER,A SURVEILLER,LBank,0.72151
AVAAI,A SURVEILLER,LBank,0.010553
B3,A SURVEILLER,LBank,0.0006221
BABYSHARK,A SURVEILLER,LBank,0.00532
BAR,A SURVEILLER,LBank,0.28
BIO1,A SURVEILLER,LBank,0.02896
CC,A SURVEILLER,"Gate.io, OKX",0.1149
CLAWD1,A SURVEILLER,LBank,6.302e-06
CZ,A SURVEILLER,LBank,0.002725
DEXE,A SURVEILLER,LBank,1.93
ENSO,A SURVEILLER,LBank,0.9976
ES,A SURVEILLER,LBank,0.0011084
EVAA,A SURVEILLER,Gate.io,0.7588
FHE,A SURVEILLER,LBank,0.02198
GOOGLG,A SURVEILLER,Gate.io,352.16
GUN,A SURVEILLER,LBank,0.00299
IOST,A SURVEILLER,OKX,0.0009355
JELLYJELLY,A SURVEILLER,LBank,0.055741
JUV,A SURVEILLER,LBank,0.3124
LABUBU,A SURVEILLER,LBank,0.0004404
LAYER,A SURVEILLER,LBank,0.0771
LLYG,A SURVEILLER,Gate.io,1169.93
LRCXON,A SURVEILLER,LBank,305.05
LUMIA,A SURVEILLER,LBank,0.08374
MARAON,A SURVEILLER,LBank,13.83
MELANIA,A SURVEILLER,LBank,0.10763
MMT,A SURVEILLER,LBank,0.1693
MON,A SURVEILLER,LBank,0.02669
MYX,A SURVEILLER,LBank,0.07888
NBISON,A SURVEILLER,LBank,236.05
OFC,A SURVEILLER,OKX,0.008638
ONDSON,A SURVEILLER,LBank,7.57
PAXG,A SURVEILLER,Gate.io,4360.36
PENGU,A SURVEILLER,LBank,0.009121
PROVE,A SURVEILLER,LBank,0.2222
PSG,A SURVEILLER,LBank,0.4692
PUMP,A SURVEILLER,LBank,0.004441
QUID1,A SURVEILLER,LBank,0.06622
RE,A SURVEILLER,OKX,0.47234
RESOLV,A SURVEILLER,LBank,0.0181
SATO,A SURVEILLER,LBank,0.1828
SKR,A SURVEILLER,LBank,0.020947
SLVON,A SURVEILLER,LBank,59.3888
SPK,A SURVEILLER,LBank,0.021527
SPYX,A SURVEILLER,LBank,776.6361
TRUMPSOL,A SURVEILLER,LBank,2.185
U,A SURVEILLER,LBank,0.9998
VIRTUAL,A SURVEILLER,LBank,0.73
WLFI,A SURVEILLER,LBank,0.0576
龙虾,A SURVEILLER,Gate.io,0.13955
AIGENSYN,A ACHETER,LBank,0.02093
AMZNX,A ACHETER,LBank,254.78
ARC,A ACHETER,Gate.io,0.07838
ARCSOL,A ACHETER,LBank,0.07991
ASP,A ACHETER,LBank,0.012627
AXTIB,A ACHETER,LBank,76.37
BABY,A ACHETER,LBank,0.0128
BAN,A ACHETER,LBank,0.06885
BANK,A ACHETER,LBank,0.03378
GIGA,A ACHETER,LBank,0.002385
GPS,A ACHETER,LBank,0.011643
HIMSON,A ACHETER,LBank,30.53
HIPPO,A ACHETER,LBank,0.0001296
KAT,A ACHETER,LBank,0.004977
KEKIUS,A ACHETER,LBank,0.006501
LINEA,A ACHETER,LBank,0.002814
LLYON,A ACHETER,LBank,1173.88
MANTRA,A ACHETER,LBank,0.00447
MNT,A ACHETER,LBank,0.6571
NOM,A ACHETER,LBank,0.001707
OG,A ACHETER,LBank,2.8259
ORCA,A ACHETER,LBank,1.4912
PROMPT,A ACHETER,LBank,0.02187
SHOPON,A ACHETER,LBank,148.63
SOON,A ACHETER,LBank,0.1964
TLTON,A ACHETER,LBank,85.06
TUT,A ACHETER,LBank,0.02387
WPAY,A ACHETER,Gate.io,0.76136
XPL,A ACHETER,"Gate.io, LBank, OKX",0.09541666666666666
ZEREBRO,A ACHETER,LBank,0.034048
ZKP,A ACHETER,LBank,0.05009
