actif,statut,exchanges,prix_moyen
0G,A SURVEILLER,Gate.io,0.1847
AGT,A SURVEILLER,LBank,0.015696
ARKM,A SURVEILLER,OKX,0.10596
BAN,A SURVEILLER,LBank,0.07297
BEG,A SURVEILLER,Gate.io,216.16
BLUE,A SURVEILLER,LBank,0.009081
BONK,A SURVEILLER,OKX,2.909e-06
CC,A SURVEILLER,OKX,0.11051
CFX,A SURVEILLER,OKX,0.04764
DOOD,A SURVEILLER,LBank,0.001324
DRV,A SURVEILLER,Gate.io,0.14341
ENA,A SURVEILLER,OKX,0.1485
ENS,A SURVEILLER,OKX,5.393
ENSO,A SURVEILLER,LBank,0.8575
FLR,A SURVEILLER,OKX,0.00673
FRONG,A SURVEILLER,LBank,0.007669
NEAR,A SURVEILLER,OKX,1.881
ONT,A SURVEILLER,OKX,0.05251
ORCA,A SURVEILLER,LBank,1.2388
PROS,A SURVEILLER,LBank,0.4071
SNXXB,A SURVEILLER,LBank,13.82
SOPH,A SURVEILLER,"LBank, OKX",0.00387
SOSO,A SURVEILLER,LBank,0.3194
STONKBROKER,A SURVEILLER,LBank,0.019999
TIA,A SURVEILLER,OKX,0.3547
TRUMP,A SURVEILLER,"Gate.io, OKX",2.1944999999999997
U,A SURVEILLER,LBank,0.9997
VEX,A SURVEILLER,LBank,0.003434
WOOD,A SURVEILLER,LBank,0.007585
ZAMA,A SURVEILLER,OKX,0.05311
ZK,A SURVEILLER,OKX,0.008839
ZORA,A SURVEILLER,"Gate.io, LBank, OKX",0.007369999999999999
ANIME,A ACHETER,LBank,0.002759
AUCTION,A ACHETER,OKX,3.242
BMT,A ACHETER,"Gate.io, LBank",0.01926
BMTBSC,A ACHETER,LBank,0.01931
BROCCOLI4,A ACHETER,LBank,0.006581
COMP,A ACHETER,OKX,19.21
GIGGLE,A ACHETER,LBank,37.47
GME1,A ACHETER,LBank,2.8052e-05
HEI,A ACHETER,LBank,0.1422
ICP,A ACHETER,OKX,2.46
JELLYJELLY,A ACHETER,LBank,0.056492
LAYER,A ACHETER,LBank,0.06706
MERL,A ACHETER,OKX,0.02036
MIAA,A ACHETER,LBank,0.00063475
NIL,A ACHETER,LBank,0.04697
NOT,A ACHETER,OKX,0.0004334
SENT,A ACHETER,LBank,0.01307
SURPLUS,A ACHETER,LBank,4.226e-05
VVV,A ACHETER,Gate.io,16.0979
XRP,A ACHETER,"Kraken, OKX",1.34668
ZKC,A ACHETER,LBank,0.04771
ZKP,A ACHETER,LBank,0.04722
