actif,statut,exchanges,prix_moyen
AAVE,A SURVEILLER,OKX,125.83
AIGENSYN,A SURVEILLER,LBank,0.01995
ARCSOL,A SURVEILLER,LBank,0.072
ASTER,A SURVEILLER,"Gate.io, OKX",0.73375
AXTIB,A SURVEILLER,LBank,70.52
BLEND,A SURVEILLER,LBank,0.06497
BROCCOLI,A SURVEILLER,LBank,0.01776
CFG,A SURVEILLER,OKX,0.11984
CHILLGUY,A SURVEILLER,LBank,0.01332
COHRON,A SURVEILLER,LBank,307.81
CRV,A SURVEILLER,OKX,0.3558
CZ,A SURVEILLER,LBank,0.002901
DOGE,A SURVEILLER,OKX,0.08619
DOLO,A SURVEILLER,LBank,0.02623
DOOD,A SURVEILLER,"Gate.io, LBank, OKX",0.0016763333333333335
DRV,A SURVEILLER,Gate.io,0.154
DYDX,A SURVEILLER,OKX,0.11683
ENS,A SURVEILLER,OKX,5.779
ENSO,A SURVEILLER,LBank,0.8997
HBAR,A SURVEILLER,OKX,0.07655
INDEX,A SURVEILLER,LBank,0.041284
JST,A SURVEILLER,LBank,0.10217
LDO,A SURVEILLER,OKX,0.3738
LINK,A SURVEILLER,"Kraken, OKX",11.8049
MARAON,A SURVEILLER,LBank,11.8
MEGA,A SURVEILLER,OKX,0.03862
MELANIA,A SURVEILLER,LBank,0.11099
MEMES,A SURVEILLER,LBank,0.0006152
MERL,A SURVEILLER,OKX,0.02274
MMT,A SURVEILLER,LBank,0.1683
NIL,A SURVEILLER,LBank,0.04809
OL,A SURVEILLER,OKX,0.005574
PARTI,A SURVEILLER,LBank,0.02429
PGG,A SURVEILLER,Gate.io,142.46
PIPEDOG,A SURVEILLER,LBank,0.002541
SEI,A SURVEILLER,OKX,0.04737
SHELL,A SURVEILLER,LBank,0.02264
SKR,A SURVEILLER,Gate.io,0.020504
SLVON,A SURVEILLER,LBank,60.7367
SOPH,A SURVEILLER,"Gate.io, LBank, OKX",0.004469
SPK,A SURVEILLER,"LBank, OKX",0.020223
STABLE,A SURVEILLER,LBank,0.02821
SUSHI,A SURVEILLER,OKX,0.219
TQQQON,A SURVEILLER,LBank,71.62
TRB,A SURVEILLER,OKX,17.61
TRX,A SURVEILLER,OKX,0.3389
TST,A SURVEILLER,LBank,0.01673
VRTON,A SURVEILLER,LBank,265.52
XCN,A SURVEILLER,LBank,0.003976
XDOG,A SURVEILLER,LBank,0.005338
ZORA,A SURVEILLER,"Gate.io, LBank, OKX",0.008148999999999998
ACT,A ACHETER,LBank,0.01057
ALPINE,A ACHETER,LBank,0.3486
APE,A ACHETER,OKX,0.14247
APT,A ACHETER,OKX,0.6277
ASMLON,A ACHETER,LBank,1751.59
BCH,A ACHETER,OKX,252.0
BERA,A ACHETER,LBank,0.1858
BREV,A ACHETER,LBank,0.0805
BROCCOLI4,A ACHETER,LBank,0.006667
COP,A ACHETER,LBank,0.0003045
EDGE,A ACHETER,LBank,0.06906
EIGEN,A ACHETER,"LBank, OKX",0.20725
ENA,A ACHETER,OKX,0.15212
EPIC,A ACHETER,LBank,0.3885
ETC,A ACHETER,OKX,8.02
FHE,A ACHETER,LBank,0.02247
KOMA,A ACHETER,LBank,0.015072
LAYER,A ACHETER,LBank,0.07177
MIAA,A ACHETER,LBank,0.00056034
MOODENG,A ACHETER,OKX,0.04192
MXN,A ACHETER,LBank,0.05581
NAORIS,A ACHETER,Gate.io,0.03496
NOM,A ACHETER,"Gate.io, LBank",0.0017009999999999998
ONDO,A ACHETER,OKX,0.3597
OP,A ACHETER,OKX,0.0995
ORDI,A ACHETER,OKX,4.087
RENDER,A ACHETER,OKX,1.468
RESOLV,A ACHETER,LBank,0.01842
SENT,A ACHETER,"LBank, OKX",0.01406
SUI,A ACHETER,OKX,0.7723
TIA,A ACHETER,OKX,0.3811
VIRTUAL,A ACHETER,LBank,0.6886
WIF,A ACHETER,OKX,0.2048
WLD,A ACHETER,OKX,0.4154
XLM,A ACHETER,OKX,0.18117
XPL,A ACHETER,"Gate.io, LBank, OKX",0.09137333333333335
XRP,A ACHETER,"Kraken, OKX",1.39501
ZKC,A ACHETER,LBank,0.04797
ZKP,A ACHETER,LBank,0.04638
