actif,statut,exchanges,prix_moyen
0G,A SURVEILLER,Gate.io,0.2007
ALPINE,A SURVEILLER,LBank,0.3549
ASR,A SURVEILLER,LBank,0.885
BAR,A SURVEILLER,LBank,0.279
BLEND,A SURVEILLER,LBank,0.06555
BLUE,A SURVEILLER,LBank,0.009737
BONK,A SURVEILLER,OKX,3.042e-06
CFX,A SURVEILLER,OKX,0.04932
CHILLGUY,A SURVEILLER,LBank,0.013888
CRV,A SURVEILLER,OKX,0.363
CZ,A SURVEILLER,LBank,0.003227
DUSK1,A SURVEILLER,LBank,0.07921
DYDX,A SURVEILLER,OKX,0.12079
ENSO,A SURVEILLER,LBank,0.9054
ES,A SURVEILLER,LBank,0.0011022
FRONG,A SURVEILLER,LBank,0.005198
GIGGLE,A SURVEILLER,LBank,38.62
GPS,A SURVEILLER,LBank,0.011334
GRAM,A SURVEILLER,OKX,1.402
IVVG,A SURVEILLER,Gate.io,769.59
LDO,A SURVEILLER,OKX,0.3856
LPT,A SURVEILLER,OKX,1.485
MARAON,A SURVEILLER,LBank,11.87
MMT,A SURVEILLER,LBank,0.1705
MYX,A SURVEILLER,LBank,0.07123
PEPE,A SURVEILLER,OKX,3.655e-06
PGG,A SURVEILLER,Gate.io,143.14
PROMPT,A SURVEILLER,LBank,0.02349
PROS,A SURVEILLER,LBank,0.4389
QQQG,A SURVEILLER,Gate.io,717.77
SPK,A SURVEILLER,OKX,0.01998
STABLE,A SURVEILLER,LBank,0.02892
TRX,A SURVEILLER,OKX,0.33874
TST,A SURVEILLER,LBank,0.0178
UNGON,A SURVEILLER,LBank,10.335
XAN,A SURVEILLER,Gate.io,0.011763
龙虾,A SURVEILLER,Gate.io,0.05876
ACT,A ACHETER,LBank,0.01115
APE,A ACHETER,OKX,0.14304
BICO,A ACHETER,OKX,0.02317
BIO1,A ACHETER,LBank,0.02857
DOGE,A ACHETER,OKX,0.09004
EDGE,A ACHETER,LBank,0.07039
EIGEN,A ACHETER,OKX,0.2116
EPIC,A ACHETER,LBank,0.4023
FHE,A ACHETER,LBank,0.02429
FIL,A ACHETER,OKX,0.845
H,A ACHETER,Gate.io,0.08
JELLYJELLY,A ACHETER,LBank,0.05707
KOMA,A ACHETER,LBank,0.015575
LA,A ACHETER,LBank,0.0626
LAYER,A ACHETER,LBank,0.0724
MERL,A ACHETER,OKX,0.02317
METAG,A ACHETER,Gate.io,614.05
MIAA,A ACHETER,LBank,0.00056559
MOODENG,A ACHETER,OKX,0.04299
MPON,A ACHETER,LBank,57.11
MXN,A ACHETER,LBank,0.05601
NOM,A ACHETER,"Gate.io, LBank",0.001733
ONDO,A ACHETER,OKX,0.3747
OP,A ACHETER,OKX,0.1052
RENDER,A ACHETER,OKX,1.506
SAGA,A ACHETER,LBank,0.01518
TIA,A ACHETER,OKX,0.4097
WIF,A ACHETER,OKX,0.2123
XLM,A ACHETER,OKX,0.18779
XPL,A ACHETER,"Gate.io, LBank, OKX",0.09788999999999999
XRP,A ACHETER,"Kraken, OKX",1.4169100000000001
ZK,A ACHETER,OKX,0.010329
ZKC,A ACHETER,LBank,0.04823
ZKP,A ACHETER,LBank,0.04889
