actif,statut,exchanges,prix_moyen
AGT,A SURVEILLER,LBank,0.019267
AKE,A SURVEILLER,"Gate.io, LBank",0.034815650000000004
ALTSZN,A SURVEILLER,LBank,0.004252
ANSEM,A SURVEILLER,LBank,0.17697
APEPE,A SURVEILLER,LBank,1.2491e-06
ASR,A SURVEILLER,LBank,0.876
AVA,A SURVEILLER,LBank,0.2592
AVAAI,A SURVEILLER,LBank,0.009868
B,A SURVEILLER,LBank,0.1981
BAR,A SURVEILLER,LBank,0.2813
BASED,A SURVEILLER,OKX,0.06926
BLUE,A SURVEILLER,LBank,0.010832
CHILLGUY,A SURVEILLER,LBank,0.013792
COP,A SURVEILLER,LBank,0.0003044
COSTON,A SURVEILLER,LBank,924.162
CRV,A SURVEILLER,OKX,0.3548
CRWVB,A SURVEILLER,LBank,87.68
CRWVON,A SURVEILLER,LBank,87.77
EVAA,A SURVEILLER,Gate.io,0.735
FARTCOIN,A SURVEILLER,LBank,0.18758
FHE,A SURVEILLER,LBank,0.02262
FLOCK,A SURVEILLER,Gate.io,0.07279
G,A SURVEILLER,OKX,0.005787
HIMSON,A SURVEILLER,LBank,29.51
HOOKR,A SURVEILLER,LBank,0.014425
IVVG,A SURVEILLER,Gate.io,774.55
JELLYJELLY,A SURVEILLER,LBank,0.057137
JUV,A SURVEILLER,LBank,0.3185
KORUG,A SURVEILLER,Gate.io,21.552
LABUBU,A SURVEILLER,LBank,0.0004546
LIT,A SURVEILLER,"Gate.io, OKX",4.856
LRCXON,A SURVEILLER,LBank,313.2
MARAON,A SURVEILLER,LBank,12.35
MELANIA,A SURVEILLER,LBank,0.10638
MEMES,A SURVEILLER,LBank,0.0006181
MMT,A SURVEILLER,OKX,0.1727
MON,A SURVEILLER,"LBank, OKX",0.025925
OFC,A SURVEILLER,"LBank, OKX",0.008517
ONE,A SURVEILLER,OKX,0.002562
ORDI,A SURVEILLER,OKX,4.794
PSG,A SURVEILLER,LBank,0.466
PUMPBTC,A SURVEILLER,LBank,0.011788
RE,A SURVEILLER,OKX,0.47764
SATO,A SURVEILLER,LBank,0.1903
SOSO,A SURVEILLER,LBank,0.3089
STO,A SURVEILLER,LBank,0.04362
TAKE,A SURVEILLER,Gate.io,0.056356
TRUMP,A SURVEILLER,"Gate.io, OKX",2.123
TRUMPSOL,A SURVEILLER,LBank,2.089
TRX,A SURVEILLER,OKX,0.33824
WOOD,A SURVEILLER,LBank,0.00644
ZEREBRO,A SURVEILLER,LBank,0.033034
AEON,A ACHETER,"LBank, OKX",0.05894
AEON1,A ACHETER,LBank,2.0484e-05
AIGENSYN,A ACHETER,LBank,0.02075
ARC,A ACHETER,Gate.io,0.07172
ARCSOL,A ACHETER,LBank,0.06975
ARROW,A ACHETER,LBank,0.4514
ASP,A ACHETER,LBank,0.01129
B2,A ACHETER,Gate.io,0.5018
BAN,A ACHETER,LBank,0.06868
BICO,A ACHETER,OKX,0.02282
BMTBSC,A ACHETER,LBank,0.01997
CLAWD1,A ACHETER,LBank,6.803e-06
CORE,A ACHETER,OKX,0.02392
DYDX,A ACHETER,OKX,0.13536
GIGA,A ACHETER,LBank,0.002416
GPS,A ACHETER,LBank,0.011277
HEI,A ACHETER,LBank,0.14109
HIPPO,A ACHETER,LBank,0.0001337
JIMOTHY,A ACHETER,LBank,0.005863
JOTCHUA,A ACHETER,LBank,0.0018266
LLYON,A ACHETER,LBank,1169.32
ONDSON,A ACHETER,LBank,7.8
PTB,A ACHETER,Gate.io,0.000943
SHOPON,A ACHETER,LBank,143.42
SOON,A ACHETER,LBank,0.201
TUT,A ACHETER,"Gate.io, LBank",0.025744999999999997
WDCG,A ACHETER,Gate.io,455.6
