actif,statut,exchanges,prix_moyen
0G,A SURVEILLER,LBank,0.1842
ACU,A SURVEILLER,LBank,0.11818
ADA,A SURVEILLER,"Kraken, OKX",0.2046965
AI1,A SURVEILLER,LBank,0.188773
B,A SURVEILLER,Gate.io,0.1942
BERA,A SURVEILLER,LBank,0.173
BLEND,A SURVEILLER,LBank,0.06606
BLUE,A SURVEILLER,LBank,0.009709
BNB,A SURVEILLER,OKX,708.5
COHRON,A SURVEILLER,LBank,301.27
CRO,A SURVEILLER,OKX,0.05588
CRWVON,A SURVEILLER,LBank,90.76
CTR,A SURVEILLER,LBank,0.009415
CZ,A SURVEILLER,LBank,0.002642
DOOD,A SURVEILLER,"Gate.io, LBank, OKX",0.0015910000000000002
DUSK1,A SURVEILLER,LBank,0.07031
DYDX,A SURVEILLER,OKX,0.11239
EDGE,A SURVEILLER,OKX,0.5499
ENJ,A SURVEILLER,LBank,0.02577
ENSO,A SURVEILLER,LBank,0.9074
FET,A SURVEILLER,OKX,0.1622
GRT,A SURVEILLER,OKX,0.0177
INDEX,A SURVEILLER,LBank,0.034037
IOST,A SURVEILLER,OKX,0.0010168
JAILSTOOL,A SURVEILLER,LBank,0.0012226
JELLYJELLY,A SURVEILLER,LBank,0.056619
JST,A SURVEILLER,LBank,0.10384
JUP,A SURVEILLER,OKX,0.2248
KERNEL,A SURVEILLER,LBank,0.03876
LINEA,A SURVEILLER,LBank,0.002545
LINK,A SURVEILLER,"Kraken, OKX",11.451115
LTC,A SURVEILLER,OKX,52.13
MARAON,A SURVEILLER,LBank,11.59
MEMES,A SURVEILLER,LBank,0.0006179
MRVLG,A SURVEILLER,Gate.io,225.0
MRVLON,A SURVEILLER,LBank,231.29
MVLLB,A SURVEILLER,LBank,28.1
NIGHT,A SURVEILLER,OKX,0.020594
OKB,A SURVEILLER,OKX,109.42
OL,A SURVEILLER,OKX,0.004959
PEAQ,A SURVEILLER,Gate.io,0.025464
PHA,A SURVEILLER,LBank,0.02634
PIPEDOG,A SURVEILLER,LBank,0.002537
SAHARA,A SURVEILLER,OKX,0.009132
SKR,A SURVEILLER,"Gate.io, LBank",0.0190305
SOPH,A SURVEILLER,"Gate.io, LBank, OKX",0.004433
SOXLB,A SURVEILLER,LBank,118.49
STABLE,A SURVEILLER,LBank,0.0303
STRK,A SURVEILLER,OKX,0.02798
STX,A SURVEILLER,OKX,0.2532
SURPLUS,A SURVEILLER,LBank,4.787e-05
SUSHI,A SURVEILLER,OKX,0.2125
TAO,A SURVEILLER,OKX,235.3
TRX,A SURVEILLER,OKX,0.33999
WXT,A SURVEILLER,LBank,0.018251
XCN,A SURVEILLER,LBank,0.003796
XDOG,A SURVEILLER,LBank,0.004943
ZK,A SURVEILLER,OKX,0.009388
ZORA,A SURVEILLER,"Gate.io, LBank, OKX",0.007790000000000001
ALGO,A ACHETER,OKX,0.0913
ASMLON,A ACHETER,LBank,1714.86
ASTER,A ACHETER,LBank,0.70526
BREV,A ACHETER,LBank,0.076
CATI,A ACHETER,LBank,0.05968
CHILLGUY,A ACHETER,LBank,0.011872
COP,A ACHETER,LBank,0.0003041
EIGEN,A ACHETER,"LBank, OKX",0.208
EPIC,A ACHETER,LBank,0.3629
ETC,A ACHETER,OKX,7.574
FIL,A ACHETER,OKX,0.7802
FORM,A ACHETER,LBank,0.2527
GPS,A ACHETER,LBank,0.011964
GRASS,A ACHETER,LBank,0.3498
H,A ACHETER,Gate.io,0.07968
INTCG,A ACHETER,Gate.io,99.24
INTCON,A ACHETER,LBank,101.82
KAT,A ACHETER,"LBank, OKX",0.0049475000000000005
MIAA,A ACHETER,LBank,0.00055944
NAORIS,A ACHETER,Gate.io,0.03299
NOM,A ACHETER,LBank,0.001561
ORCA,A ACHETER,LBank,1.3932
ORDI,A ACHETER,OKX,3.946
PROVE,A ACHETER,LBank,0.1887
RESOLV,A ACHETER,LBank,0.01768
SENT,A ACHETER,"LBank, OKX",0.013715000000000001
SPK,A ACHETER,LBank,0.019261
TIA,A ACHETER,OKX,0.3684
TSMON,A ACHETER,LBank,435.78
USDG,A ACHETER,OKX,1.0002
WDCG,A ACHETER,Gate.io,457.78
WLD,A ACHETER,"LBank, OKX",0.40080000000000005
XPL,A ACHETER,LBank,0.08651
ZEN,A ACHETER,OKX,6.521
